ID,ID PRIMERO,ID CUARTO,Prom Gral,PROMEDIO CUARTO,PROMEDIO PRIMERO
73253236,,,3.072,,
73283153,,,3.791,,
73292334,,73292334,3.214,3.214,
73302163,,,3.866,,
73302241,,,3.808,,
73302276,,,4.016,,
73293114,,73293114,3.716,3.716,
73302145,,,3.307,,
73302194,,,3.125,,
73302211,,,3.815,,
73302292,,,3.53,,
73302182,,,3.683,,
73293121,,,3.55,,
73302330,,,3.658,,
73282147,,73282147,3.206,3.206,
73282219,,73282219,3.235,3.235,
73292279,73292279,73292279,3.416,3.416,3.9
73293136,,,3.343,,
73293174,,,3.392,,
73302188,,,3.376,,
73302206,,,3.183,,
73302243,,,4.141,,
73302244,,,3.733,,
73302267,,,3.625,,
73292128,,73292128,3.444,3.444,
73293206,,,3.038,,
73302205,,,4.058,,
73302238,,,3.333,,
73282220,,,3.309,,
73282308,,73282308,3.385,3.385,
73292291,73292291,,3.045,,4.0
73302187,,,4.025,,
73302271,,,3.725,,
73302352,,,3.775,,
73292131,,,3.252,,
73302168,,,3.892,,
73292306,,73292306,3.59,3.59,
73293173,,73293173,3.466,3.466,
73293220,,73293220,3.438,3.438,
73302120,,,3.9,,
73302233,,,3.576,,
73302248,,,3.575,,
73302288,,,3.816,,
73302289,,,3.833,,
73292159,,73292159,3.47,3.47,
73293163,,,3.377,,
73293171,,73293171,3.75,3.75,
73293175,,73293175,3.433,3.433,
73293211,,73293211,3.983,3.983,
73302146,,,3.658,,
73302274,,,3.533,,
73293120,,73293120,3.788,3.788,
73302179,,,3.384,,
73283170,,,3.322,,
73283252,,,3.057,,
73292130,,73292130,3.475,3.475,
73292301,,73292301,3.475,3.475,
73293226,,73293226,3.383,3.383,
73293293,,,3.46,,
73302118,,,4.258,,
73302177,,,3.816,,
73302242,,,3.691,,
73302256,,,3.416,,
73302259,,,4.058,,
73303149,,,4.142,,
73252138,,,3.532,,
73302117,,,3.725,,
73302184,,,3.615,,
73302223,,,3.441,,
73292251,,,2.893,,
73293218,,73293218,3.477,3.477,
73302221,,,3.816,,
73252232,,73252232,2.966,2.966,
73292325,73292325,,3.24,,
73292471,,,3.08,,
73293126,,73293126,3.444,3.444,
73293224,,,3.457,,
73293266,,73293266,3.772,3.772,
73293287,,73293287,3.484,3.484,
73302134,,,3.908,,
73302167,,,3.708,,
73302212,,,3.875,,
73302213,,,3.592,,
73302283,,,3.908,,
73292178,,73292178,3.42,3.42,
73293236,,73293236,3.483,3.483,
73302219,,,4.025,,
73293182,,73293182,3.488,3.488,
73293289,,,3.578,,
73302128,,,3.428,,
73302268,,,4.091,,
73292187,,73292187,3.23,3.23,
73302131,,,3.875,,
73272222,,,3.295,,
73272216,,73272216,2.926,2.926,
73292239,73292239,,2.727,,
73293139,,73293139,3.566,3.566,
73293169,,73293169,3.727,3.727,
73293278,,73293278,3.727,3.727,
73302121,,,3.564,,
73302122,,,4.058,,
73302125,,,3.766,,
73302149,,,4.3,,
73302151,,,3.7,,
73302158,,,3.9,,
73302170,,73302170,3.8,3.8,
73302269,,,4.266,,
73302270,,,4.108,,
73302291,,,3.53,,
73303127,,,3.944,,
73283231,,73283231,3.223,3.223,
73283295,,,3.32,,
73302185,,,3.825,,
73302237,,,3.166,,
73302245,,,3.858,,
73302250,,,3.566,,
73302253,,,3.327,,
73302263,,,4.141,,
73302266,,,4.566,,
73302279,,,3.561,,
73302282,,,4.05,,
73302328,,,3.592,,
73302373,,,3.866,,
73302254,,,3.866,,
73302152,,,3.661,,
73283145,,,3.139,,
73282303,,,2.928,,
73282498,,,3.466,,
73293131,,73293131,3.738,3.738,
73293137,,73293137,3.605,3.605,
73302130,,,3.85,,
73302137,,,4.075,,
73302159,,,3.775,,
73302165,,,3.385,,
73302265,,,3.741,,
73292275,,73292275,3.53,3.53,
73293250,,73293250,3.316,3.316,
73302174,,,3.833,,
73302201,,,2.907,,
73302284,,,3.666,,
73293336,,73293336,3.54,3.54,
73302209,,,3.558,,
73302236,,,4.025,,
73302281,,,3.691,,
73292151,,,3.225,,
73273278,,73273278,2.716,2.716,
73293125,,73293125,3.666,3.666,
73293161,,,3.575,,
73293256,,,4.033,,
73302183,,,3.43,,
73302197,,,3.553,,
73302224,,,3.521,,
73302227,,,3.5,,
73302251,,,3.569,,
73302264,,,3.753,,
73302367,,,3.525,,
73292356,,73292356,3.545,3.545,
73293117,,73293117,3.361,3.361,
73293253,,,2.816,,
73293255,,73293255,3.455,3.455,
73293364,,,3.566,,
73302232,,,3.583,,
73302257,,,3.666,,
73302275,,,3.808,,
73292363,73292363,73292363,3.552,3.552,2.0
73293147,,73293147,3.883,3.883,
73293155,,,3.24,,
73302229,,,3.453,,
73243260,,73243260,3.118,3.118,
